stuff,38
subject,67
substance,26
success,21
sudden,63
suddenly,30
suffer,70
suffolk,46
summer,41
supper,22
surely,27
surrey,12
suspect,33
swear,197
sweat,27
sweet,707
swift,56
sword,170
swore,44
sworn,98
syracuse,22
table,29
tailor,18
taken,69
talbot,50
tarry,24
taste,59
taught,46
teach,97
tears,150
tedious,36
teeth,29
tells,41
tempest,30
tender,123
terms,45
thank,288
their,2076
themselves,94
there,1367
therefore,459
therein,47
these,1252
thief,26
thing,251
think,862
third,218
thomas,57
those,537
though,611
thought,285
thrive,30
throat,24
throne,22
through,244
throw,99
thrust,51
thunder,31
times,158
title,64
together,94
tongue,231
tonight,20
touch,94
toward,92
tower,28
train,46
traitor,53
tread,34
treason,45
treasure,33
trial,31
tribunes,24
trick,36
triumph,24
trouble,60
truly,81
trumpet,53
trust,142
truth,165
turns,49
twice,61
tyrant,28
ulysses,16
uncle,89
under,286
understand,83
undertake,40
undone,23
unhappy,28
unknown,26
unless,151
until,76
unworthy,35
utter,32
valentine,29
valiant,110
valour,50
vantage,20
vengeance,38
venice,24
version,222
victory,15
villain,70
viola,8
violent,37
virtue,130
visit,54
voice,85
walls,52
warlike,57
warrant,140
waste,35
watch,77
water,83
wealth,51
weapons,20
weary,58
weeds,26
weeping,34
weight,31
welcome,154
wench,17
whence,71
where,1151
wherein,123
whether,95
which,2154
while,192
whither,71
whole,108
whore,12
whose,612
widow,49
willing,30
window,21
wings,33
winter,32
wisdom,66
witch,21
withal,36
within,283
without,349
witness,93
wives,29
wolsey,12
woman,153
wonder,76
works,245
world,568
worse,112
worship,58
worth,162
would,2240
wound,46
wounded,28
wrath,22
wretch,22
write,107
written,30
wrong,116
wrought,35
yield,113
yonder,53
young,404
yours,79
yourself,152
youth,145
